text,translation
Which pet will you gift?,你想赠送哪只宠物？
"While it is possible to trade for [C:6:0:1]Clothing[C:7:0:0], [C:6:0:1]Cloth[C:7:0:0], or [C:6:0:1]Leather[C:7:0:0], you can also farm [C:6:0:1]Pigtails[C:7:0:0],",虽然可以交易获得[C:6:0:1]衣物[C:7:0:0]、[C:6:0:1]布料[C:7:0:0]或[C:6:0:1]皮革[C:7:0:0]，但你也可以种植[C:6:0:1]辫子草[C:7:0:0]，
Who or what would you like to shoot?,你想射击谁或什么目标？
Who will you attack?,你要攻击谁？
Who will you wrestle?,你要摔跤的对象是谁？
Whom does your identity worship?,你的身份崇拜谁？
Wild animal gave birth,野生动物产下了幼崽
"Wild attack: fast strike, slow recovery, hard but unbalancing/inaccurate",狂野攻击：出手迅速，恢复缓慢，威力大但会失去平衡/不精准
"With a [C:6:0:0]Bed[C:7:0:0] placed, your workers will have somewhere to sleep.  Later you can create a",放置[C:6:0:0]床[C:7:0:0]后，你的工人就有地方睡觉了。之后你还可以创建
"With a subterranean soil floor exposed, you can place an underground [C:6:0:0]Farmplot[C:7:0:0].",在有裸露的地下土壤地面时，你可以放置地下[C:6:0:0]农田[C:7:0:0]。
"With shelter ready underground, it's time to build.",地下庇护所就绪后，是时候进行建造了。
With what do you want to interact?,你想与什么互动？
Witnessed item handoff,目击了物品交接
Witnessed item missing,目击了物品丢失
Witnessed item stolen,目击了物品被盗
Woe unto any that disturb the resting place of,任何惊扰……安息之所者都将遭受厄运
"Work details are one way you can control which workers do which tasks, and they are the only way to assign certain tasks like mining, woodcutting, hunting, and fishing.",劳动队是控制哪些工人执行哪些任务的方式之一，也是分配某些特定任务（如采矿、伐木、狩猎和钓鱼）的唯一方式。
Work order completed,工作订单已完成
Work orders are used to automate [C:3:0:1]Tasks[C:7:0:0] in [C:6:0:0]Workshops[C:7:0:0].,工作订单用于在[C:6:0:0]工作坊[C:7:0:0]中自动执行[C:3:0:1]任务[C:7:0:0]。
"Workers will try to limit their tasks to the confines of the [C:1:0:0]Burrow[C:7:0:0], but they will sometimes form paths which pass through other areas.",工人会尽量将任务限制在[C:1:0:0]洞区[C:7:0:0]范围内，但有时会经过其他区域的路线。
World Joining Agreement,世界加入协议
Would like to sleep or wait a while?,想睡一会儿还是稍等片刻？
Would you agree to become,你是否愿意成为
Would you like to join,你是否愿意加入
Would you like to take an action?,你想采取行动吗？
Would you like your fortress located in a forested mineral-rich region of this world where you can play through a short tutorial?,你想让你的要塞位于这个世界中一片矿产丰富的森林地区，并附带简短教程吗？
Would you please adopt,请你收养
Wrestling involves specific attacking body parts and specific target body parts.,摔跤涉及特定的攻击身体部位和特定的目标身体部位。
Write something down,写点东西
Writing Material (Desired):,书写材料（需求）：
Written objects (incl. copies):,书写的物品（含副本）：
Written on the item is,该物品上写着
"X marks an accented beat,",X表示重拍，
Yell out service order,大声喊出服务订单
Yes Button Background,是按钮背景
"Yes, and trade we will!  Simply tell me",好，我们这就交易！只需告诉我
"Yes, and trade we will!  Simply tell me what interests you and what you're prepared to offer in exchange.",好，我们这就交易！只需告诉我你感兴趣的东西，以及你准备用什么来交换。
"Yes, you'd make a fantastic",没错，你会成为一名出色的
You accept their tribute every,你每接受他们的贡品
You already know the will of,你已经知晓……的旨意
You also have needs according to your personality as seen in character creation and on your character sheet.,根据角色创建和角色面板中显示的性格，你也有自己的需求。
You are a newly-minted,你是一名新晋的
You are a projectile.,你是一枚投射物。
"You are also still subject to attack or ambush, though you can see certain groups on the map and may be able to avoid them.",你仍然可能遭受攻击或伏击，不过你可以在地图上看到某些群体，并有可能避开他们。
You are held in high regard.,你深受敬重。
You are held in some esteem.,你颇受尊重。
You are hereby charged to retrieve,兹命你取回
You are in a fell mood.,你陷入了狂乱的情绪。
You are in a fey mood.,你陷入了狂乱状态。
You are not that hungry.,你还不算太饿。
You are now in control of,你现在正在控制
You are tangled in a web.,你被缠在了蛛网中。
You are unconscious.,你失去了意识。
You aren't wielding a ranged weapon.,你没有装备远程武器。
You bash the door down!,你撞开了门！
You break the hatch in!,你砸开了舱口！
You can also access information from the [C:5:0:1]Citizens[C:7:0:0] button.,你也可以通过[C:5:0:1]市民[C:7:0:0]按钮查看信息。
You can also add [C:6:0:0]Chests[C:7:0:0] or [C:6:0:0]Coffers[C:7:0:0] to hold [C:6:0:1]Musical Instruments[C:7:0:0] that the faithful will use.,你也可以添加[C:6:0:0]箱子[C:7:0:0]或[C:6:0:0]柜子[C:7:0:0]来存放信徒们使用的[C:6:0:1]乐器[C:7:0:0]。
You can also assign [C:5:0:0]Performers[C:7:0:0] to the [C:1:0:1]Temple[C:7:0:0] and even [C:5:0:0]Priests[C:7:0:0] once the [C:1:0:1]Temple[C:7:0:0] becomes more established.,你也可以为[C:1:0:1]神殿[C:7:0:0]指派[C:5:0:0]表演者[C:7:0:0]，当[C:1:0:1]神殿[C:7:0:0]发展壮大后甚至可以指派[C:5:0:0]祭司[C:7:0:0]。
You can also cause trouble if you'd like to raid your neighbors.,如果你想袭击邻居，也可以制造事端。
"You can also compose poems, songs, and choreography if you know a relevant art form.",如果你掌握相关的艺术形式，也可以创作诗歌、歌曲和舞蹈。
You can also create work orders at specific [C:6:0:0]Workshops[C:7:0:0] from their building sheet.,你也可以在特定的[C:6:0:0]工作坊[C:7:0:0]的建筑面板中创建工作单。
You can also demand your opponent yield using a conversation option.,你也可以通过对话选项要求对手投降。
You emerged from the wilds and managed to prove yourself to the locals.  Now you are finally a,你从荒野中走出，成功向当地人证明了自己。现在你终于成为一名
You fail to grab the,你未能抓住
You failed to dismount,你未能下马
You feel like you know the basic rules of,你觉得自己已经了解了……的基本规则
You feel really full.,你感觉很饱。
You feel too watched to,你感到被注视得太紧，无法
You first heard this,你最初听说这个
You gain possession of the,你获得了
You have attracted some positive interest.,你吸引了一些正面的关注。
You have been favorably noticed.,你受到了好评。
You have bestowed the name,你赐予了……这个名字
You have discovered a,你发现了一个
You have finished working on,你已完成对……的工作
You have known this person since,你从……起就认识这个人
You haven't been able to act for a while.,你已有一段时间无法行动了。
"You can strike, wrestle, or shoot to engage in combat.  You can also throw objects in your inventory.",你可以进行打击、摔跤或射击来投入战斗。你还可以投掷物品栏中的物品。
You can then build [C:6:0:0]Walls[C:7:0:0] around the stairs until the leaking water is blocked off.,然后你可以在楼梯周围建造[C:6:0:0]墙壁[C:7:0:0]，直到漏出的水被堵住。
You can zoom in and out of the play area using,你可以使用以下按键缩放游戏区域
You can't stand up -- somebody is in the way.,你无法站起来——有东西挡路了。
You can't travel until you emerge from underground or enter a tunnel.,你必须先从地下出来或进入隧道才能旅行。
You cannot construct here,你无法在此处建造
You cannot travel through the,你无法穿过
You do not have a free grasp for,你没有空闲的手来
You do not have a weapon.,你没有武器。
"You don't always need to be slain in combat or starve to death.  If you are in a friendly community, you can retire there.",你不一定要在战斗中被杀或饿死。如果你身处友好的聚居地，可以在那里退休。
"You don't believe anything relevant, unfortunately.",遗憾的是，你不知道任何相关信息。
You don't feel safe enough to,你感觉不够安全，无法
You don't have any ammunition for,你没有用于此的弹药
"You don't know anything specific about this, unfortunately.",遗憾的是，你对此没有具体的了解。
You emerged from the wilds and came to be a,你走出荒野，成为了一名
The voice uses its entire range from the,声音用尽了它的全部音域，从
The voice uses its entire range.,声音用尽了它的全部音域。
The work has a single chapter.,这部作品只有一个章节。
The work has no particular subject.,这部作品没有特定的主题。
"The world created at the beginning of the game is active, and others may take an interest in your outpost as it grows.",游戏开始时创建的世界是活跃的，随着你的前哨站的发展，其他人可能会对它产生兴趣。
The world generator couldn't find any civilization definitions.,世界生成器找不到任何文明定义。
The world generator is having trouble placing a controllable civilization.,世界生成器在放置可控文明时遇到问题。
The world generator is having trouble placing deserts and badlands.,世界生成器在放置沙漠和荒地时遇到问题。
The world generator is having trouble placing enough civilizations.,世界生成器在放置足够多的文明时遇到问题。
The world generator is having trouble placing enough high elevations.,世界生成器在放置足够多的高海拔地区时遇到问题。
The world generator is having trouble placing enough low elevations.,世界生成器在放置足够多的低海拔地区时遇到问题。
The world generator is having trouble placing enough mid-level elevations.,世界生成器在放置足够多的中等海拔地区时遇到问题。
The world generator is having trouble placing enough mountain peaks.,世界生成器在放置足够多的山峰时遇到问题。
The world generator is having trouble placing enough ocean squares along the edges.,世界生成器在沿边缘放置足够多的海洋方格时遇到问题。
The world generator is having trouble placing enough volcanos.,世界生成器在放置足够多的火山时遇到问题。
"You can find water in wells in towns, or in rivers.  Salt and brackish waters are not safe for drinking.",你可以在城镇的水井或河流中找到水。盐水和半咸水不宜饮用。
You can gather the [C:6:0:1]Refuse[C:7:0:0] in a [C:6:0:0]Refuse Stockpile[C:7:0:0].,你可以在[C:6:0:0]垃圾堆放区[C:7:0:0]中收集[C:6:0:1]垃圾[C:7:0:0]。
You can give individual orders to the soldiers by selecting them with the checkmark from the [C:5:0:1]Position[C:7:0:0] menu,你可以在[C:5:0:1]驻地[C:7:0:0]菜单中用对勾选中士兵，向他们下达单独命令
"You can grab creatures with your grasps and limbs, and both the target and attacking part determine which wrestling moves are available.",你可以用抓握部位和肢体抓住生物，目标部位和攻击部位共同决定可用的摔跤招式。
"You can initiate throwing from the inventory menu, or by pressing",你可以从物品栏菜单发起投掷，或按
"You can jump while climbing, and you can also release your hold.  In these ways, you might reach areas you can't otherwise reach.",你可以在攀爬时跳跃，也可以松开抓握。这样你或许能到达原本无法到达的地方。
You can limit work orders to a number of [C:6:0:0]Workshops[C:7:0:0].,你可以将工作订单限制在若干个[C:6:0:0]工作间[C:7:0:0]。
You can make a [C:3:0:1]Station[C:7:0:0] order to have your squad stand in that position.  You can create a [C:3:0:1]Patrol Route[C:7:0:0],你可以下达[C:3:0:1]驻扎[C:7:0:0]命令让小队站在指定位置。你还可以创建[C:3:0:1]巡逻路线[C:7:0:0]
You can no longer be a,你不能再成为
You can optionally choose to designate a [C:3:0:0]Fishing[C:7:0:0] zone if you don't want your workers going far afield.,如果不想让工人跑远，你可以选择划定一个[C:3:0:0]钓鱼[C:7:0:0]区域。
You can prepare in advance with,你可以提前用以下方式准备：
You can right click to close [C:5:0:1]Woodcutting[C:7:0:0] mode.  Right clicking closes most menus.,你可以右键点击来退出[C:5:0:1]伐木[C:7:0:0]模式。右键点击可以关闭大多数菜单。
You can see how many worshippers of each deity live in your fortress by scrolling over their names.,将鼠标悬停在神祇名字上，即可查看要塞中各神祇的信仰者数量。
You can set your gait/speed and other movement options by clicking the indicated button or pressing,你可以点击指定按钮或按以下按键来设置步态/速度及其他移动选项：
You can sleep using the sleep option in either local play or travel mode.,你可以在本地模式或旅行模式中使用睡眠选项入睡。
You can also flying to other altitudes by left/right clicking while the camera is adjusted.,在镜头调整后，你也可以通过左键/右键点击飞往其他高度。
You can also give your squads a monthly schedule.  The routines are aligned along the top of,你还可以为你的小队设置月度日程表。日程安排排列在顶部
You can also interrogate suspects.,你也可以审问嫌疑人。
"You can also obtain other followers through conversation, such as a guide or a mercenary.  These followers may help or run away in combat,",你还可以通过对话获得其他追随者，比如向导或佣兵。这些追随者在战斗中可能协助你，也可能逃跑，
"You can also set whether a party member will be controlled manually during tactical mode, or whether they'll be controlled by the computer.",你还可以设定队员在战术模式下由你手动控制，还是由电脑控制。
You can also speak to locals and inquire about their troubles.,你也可以与当地人交谈，询问他们的烦恼。
You can also unretire characters directly if they are still alive.,如果角色还活着，你也可以直接让这些角色重返冒险。
You can alternate between standing and a prone position by clicking the indicated button or pressing,你可以点击指定按钮或按下相应按键，在站立和匍匐姿态之间切换
You can assign new uniforms to your squads or add a new one to customize it and add it to the uniform list.,你可以为小队分配新的制服，或新建一套制服进行自定义，并将其加入制服列表。
You can assume control of party members.  Companions who join you later in the journey can't generally be controlled manually.,你可以接管队员的控制权。但旅途中后期加入的同伴通常无法手动控制。
You can click on [C:2:0:0]Creatures[C:7:0:0] and [C:6:0:1]Items[C:7:0:0] just as you can click on [C:6:0:0]Buildings[C:7:0:0] to get more information about them.,你可以点击[C:2:0:0]生物[C:7:0:0]和[C:6:0:1]物品[C:7:0:0]，就像点击[C:6:0:0]建筑[C:7:0:0]一样，以获取更多信息。
You can click the indicated button or press,你可以点击指定按钮或按下
"You can climb trees.  First you must establish a hold with a free grasp.  Then you can continue to move up into the air, while maintaining a hold on an adjacent tile.",你可以爬树。首先你必须用空闲的抓握部位建立抓点，然后就能继续向空中攀爬，同时保持在相邻格上的抓握。
"You can continue waiting, or save/quit from",你可以继续等待，或在以下界面保存/退出：
You can create these with [C:5:0:1]Zones[C:7:0:0] -> [C:5:0:1]Office[C:7:0:0].,你可以通过[C:5:0:1]区域[C:7:0:0] -> [C:5:0:1]办公室[C:7:0:0]来创建这些设施。
You interact with item,你与物品互动
You just can't fit any more.,已经装不下更多了。
You lower the bucket.,你放下水桶。
You maintain possession of the,你保留了
You make a campfire.,你生起了营火。
You may also leave a cleared space your tavern-goers will use as a dance floor.  If you have any [C:6:0:1]Musical,你也可以留出一块空地，供酒馆客人用作舞池。如果你有任何[C:6:0:1]乐器
You may create multiple characters during character creation.  These are your party.  You may select one party leader freely,你可以在角色创建时创建多个角色。他们是你的队伍。你可以自由选择一名队长
You may need supplies before the coming of winter.,在冬天来临之前，你可能需要补给品。
"You may switch to other forms of [C:6:0:1]Fuel[C:7:0:0] later, such as [C:6:0:1]Coal[C:7:0:0], but you will usually",你之后可以换成其他形式的[C:6:0:1]燃料[C:7:0:0]，例如[C:6:0:1]煤[C:7:0:0]，但通常你
You might want to adjust the parameters governing drainage.,你可能需要调整控制排水的参数。
You might want to adjust the parameters governing elevation frequencies.,你可能需要调整控制海拔频率的参数。
You might want to adjust the parameters governing elevation.,你可能需要调整控制海拔的参数。
You might want to adjust the parameters governing rainfall.,你可能需要调整控制降雨量的参数。
You might want to adjust the parameters governing savagery.,你可能需要调整控制野蛮程度的参数。
You might want to adjust the parameters governing volcanism.,你可能需要调整控制火山活动的参数。
You need to select the crops to be grown each season.,你需要选择每个季节要种植的作物。
You prepare to shoot,你准备射击
You raise the bucket.,你举起了水桶。
You should report the task as complete.,你应将任务报告为已完成。
You topple the statue!,你推倒了雕像！
"You truly despise life, don't you?",你真的很厌世，不是吗？
"You truly despise life, don't you?  I am beside myself with grief.  Perhaps we will show you how they suffered.",你真的很厌世，不是吗？我悲痛欲绝。也许我们会让你尝尝他们所受的痛苦。
You will be rewarded.,你将获得奖励。
You will need to appoint a [C:5:0:0],你需要任命一位[C:5:0:0]
You will need to assign a [C:5:0:0]Doctor[C:7:0:0] to the [C:1:0:1]Hospital[C:7:0:0] from the [C:5:0:1]Hospital Info Menu[C:7:0:0].,你需要从[C:5:0:1]医院信息菜单[C:7:0:0]中为[C:1:0:1]医院[C:7:0:0]指派一位[C:5:0:0]医生[C:7:0:0]。
You will sleep as necessary for,你将按需睡眠，持续
"You will wait, staying awake for",你将保持清醒等待，持续
You wish to make an offering to our leader?,你想向我们的领袖进贡吗？
You worship this figure.,你崇拜这位人物。
You'll begin by creating your world and watching the region's history unfold.,你将首先创造你的世界，并见证该地区历史的展开。
You might want to check your maximum elevation value and other elevation parameters.,你可能需要检查你的最大海拔值及其他海拔参数。
You might want to check your maximum volcanism value.,你可能需要检查你的最大火山活动值。
You might want to check your preset elevations for the elevation 400.,你可能需要检查海拔400的预设海拔设置。
You might want to check your preset volcanism for the value 100.,你可能需要检查数值100的预设火山活动设置。
You must build [C:6:0:0]Chests[C:7:0:0] or [C:6:0:0]Coffers[C:7:0:0] inside the [C:1:0:1]Hospital[C:7:0:0] to store these items.,你必须在[C:1:0:1]医院[C:7:0:0]内建造[C:6:0:0]箱子[C:7:0:0]或[C:6:0:0]柜子[C:7:0:0]来存放这些物品。
You must come down from the mountains before you can,你必须先下山才能
You must compose a piece first (or learn an improvisational form).,你必须先创作一首曲子（或学习一种即兴形式）。
You must drive the ruffians of,你必须驱逐
You must drive the skulking vermin,你必须驱逐这些鬼祟的害虫
You must have at least as many of these highest elevation points as you are requiring peaks.,这些最高海拔点的数量必须至少与你要求的山峰数量相同。
You must have at least as many of these highest volcanism points as you are requiring volcanos.,这些最高火山活动点的数量必须至少与你要求的火山数量相同。
You must move away from surrounding obstacles such as the site's walls and rivers before you can travel.,你必须先远离周围的障碍物（如驻地墙壁和河流）才能旅行。
You must move away from the water before you can,你必须先远离水域才能
You need something of value to trade.,你需要有值钱的物品才能交易。
You need to assign a,你需要指定一个
Your name precedes you.  Thank you for all that you have done.,你的名字早已如雷贯耳。感谢你所做的一切。
Your order delivered,你的订单已送达
"Your retired and abandoned fortresses are available to visit, if you can remember where to find them.  Abandoned fortresses",你退役和废弃的要塞可以前往参观，前提是你还记得在哪里能找到它们。废弃要塞
Your sleep has been interrupted!,你的睡眠被打断了！
Your trap was robbed of the,你的陷阱被偷走了
Your unfortunate citizens are taken to the [C:1:0:1]Hospital[C:7:0:0] when injured.  There they will rest and given water until,你受伤的不幸市民会被送往[C:1:0:1]医院[C:7:0:0]。在那里他们会休息并喝水，直到
"Your view is focused on one elevation at a time.  To move the camera around, press",你的视角一次只聚焦一个高度层。要移动镜头，请按
Your wanderings have led you to,你的游历将你带到了
"[B]Pass this treasure into our possession, and we shall depart in peace.",[B]把这件宝物交给我们，我们将和平离去。
[B]Play your role in this noble quest and become legendary!,[B]在这项崇高的任务中履行你的职责，成为传奇吧！
"[B]The rhythm system is fundamentally polymetric.  There are always multiple rhythm lines, and the beats are always played together, even if one rhythm line completes (and then repeats) before the other is finished.  The rhythm lines are thought of as one, without a primary-subordinate relationship, though individual lines can be named.",[B]这套节奏系统本质上是多节拍的。始终存在多条节奏线，各节拍总是同时演奏，即使某条节奏线先完成（然后重复）。这些节奏线被视为一体，没有主次之分，但各条节奏线可以有自己的名称。
"[B]The rhythm system is fundamentally polyrhythmic.  There are always multiple rhythm lines, and each of their bars is played over the same period of time, regardless of the number of beats.  The rhythm lines are thought of as one, without a primary-subordinate relationship, though individual lines can be named.",[B]这套节奏系统本质上是复节奏的。始终存在多条节奏线，每条节奏线的小节都在相同的时间内演奏，无论节拍数多少。这些节奏线被视为一体，没有主次之分，但各条节奏线可以有自己的名称。
[C:1:0:0]Burrows[C:7:0:0] are work and living areas where citizens can be assigned.,[C:1:0:0]区域[C:7:0:0]是可以分配市民工作和生活的区域。
"[C:1:0:0]Burrows[C:7:0:0] can be suspended and unsuspended freely.  When a [C:1:0:0]Burrow[C:7:0:0] is suspended, assigned citizens will ignore it.",[C:1:0:0]区域[C:7:0:0]可以随时暂停和恢复。当[C:1:0:0]区域[C:7:0:0]被暂停时，被分配的市民会忽略它。
[C:1:0:1]Guildhalls[C:7:0:0] are where the workers of specific professions gather to socialize and share their knowledge.,[C:1:0:1]行会大厅[C:7:0:0]是特定职业的工人们聚会交流和分享知识的地方。
"[C:1:0:1]Taverns[C:7:0:0] are where your residents gather to drink, socialize, tell stories, and dance.",[C:1:0:1]酒馆[C:7:0:0]是你的居民聚集饮酒、社交、讲故事和跳舞的场所。
[C:1:0:1]Temples[C:7:0:0] are places for faithful residents to commune with their chosen deity.,[C:1:0:1]神庙[C:7:0:0]是虔诚的居民与其信奉神明交流的场所。
[C:2:0:0]Haulers[C:7:0:0] will also drop [C:6:0:1]Wood[C:7:0:0] in your [C:6:0:0]All Stockpile[C:7:0:0] unless you turn it off in the [C:5:0:1]Custom Stockpile Menu[C:7:0:0].,除非你在[C:5:0:1]自定义仓库菜单[C:7:0:0]中关闭此选项，否则[C:2:0:0]搬运工[C:7:0:0]也会将[C:6:0:1]木材[C:7:0:0]放入你的[C:6:0:0]全物资仓库[C:7:0:0]。
[C:2:0:1]You have been ordered to drive,[C:2:0:1]你已接到驱赶命令
[C:2:0:1]You have been ordered to kill this creature.,[C:2:0:1]你已接到杀死该生物的命令。
[C:3:0:0]Meeting Areas[C:7:0:0] are [C:3:0:0]Zones[C:7:0:0] where your citizens gather when not working or taking care of their needs.,[C:3:0:0]聚会区[C:7:0:0]是[C:3:0:0]区域[C:7:0:0]的一种，市民在不工作或不处理自身需求时会聚集于此。
"[C:3:0:0]Zones[C:7:0:0] are areas you designate where your citizens will work, socialize, rest, or perform specific duties.",[C:3:0:0]区域[C:7:0:0]是你划定的范围，市民在其中工作、社交、休息或执行特定任务。
[C:3:0:0]Zones[C:7:0:0] are placed much like [C:6:0:0]Stockpiles[C:7:0:0].,[C:3:0:0]区域[C:7:0:0]的划定方式与[C:6:0:0]仓库[C:7:0:0]类似。
"[C:3:0:0]Zones[C:7:0:0] can be assigned to special [C:1:0:1]Locations[C:7:0:0]. Usually one [C:3:0:0]Meeting Area[C:7:0:0] is sufficient, but [C:1:0:1]Locations[C:7:0:0] can span several [C:3:0:0]Zones[C:7:0:0].",[C:3:0:0]区域[C:7:0:0]可指定为特殊的[C:1:0:1]场所[C:7:0:0]。通常一个[C:3:0:0]聚会区[C:7:0:0]就足够了，但[C:1:0:1]场所[C:7:0:0]可跨越多个[C:3:0:0]区域[C:7:0:0]。
[C:3:0:1]Partially paralyzed,[C:3:0:1]部分瘫痪
[C:3:0:1]Related Historical Figures[C:7:0:0][B],[C:3:0:1]相关历史人物[C:7:0:0][B]
[C:4:0:1].Overlapping fracture,[C:4:0:1].重叠性骨折
[C:4:0:1]Compound fracture of,[C:4:0:1]复合性骨折：
[C:5:0:0]Militia Commanders[C:7:0:0] are assigned here.,[C:5:0:0]民兵指挥官[C:7:0:0]在此指派。
"[C:5:0:1]Beds[C:7:0:0] are found in the [C:5:0:1]Furniture[C:7:0:0] category.  Unlike [C:6:0:0]Workshops[C:7:0:0], [C:6:0:0]Beds[C:7:0:0] must be placed underground.",[C:5:0:1]床[C:7:0:0]可在[C:5:0:1]家具[C:7:0:0]分类中找到。与[C:6:0:0]工作坊[C:7:0:0]不同，[C:6:0:0]床[C:7:0:0]必须放置在地下。
[C:5:0:1]Moderate blood loss,[C:5:0:1]中度失血
[C:5:0:1]This creature is known to be dead.,[C:5:0:1]该生物已确认死亡。
[C:6:0:0].Minor condensation,[C:6:0:0].轻微冻伤
[C:6:0:0].Moderate blistering,[C:6:0:0].中度起水泡
[C:6:0:0].Moderate condensation,[C:6:0:0].中度冻伤
[C:6:0:0].Moderate frost-bite,[C:6:0:0].中度冻伤
[C:6:0:0].Overlapping fracture (in traction),[C:6:0:0].复合性骨折（牵引治疗中）
[C:6:0:0].Serious blistering,[C:6:0:0].严重起水泡
[C:6:0:0].Serious condensation,[C:6:0:0].严重冻伤
[C:6:0:0].Serious frost-bite,[C:6:0:0].严重冻伤
[C:6:0:0]Coffers[C:7:0:0] inside the [C:1:0:1]Tavern[C:7:0:0].  Optionally you can place [C:6:0:0]Tables[C:7:0:0] and [C:6:0:0]Chairs[C:7:0:0] where your residents can eat.,位于[C:1:0:1]酒馆[C:7:0:0]内的[C:6:0:0]保险箱[C:7:0:0]。你也可以在居民用餐处放置[C:6:0:0]桌子[C:7:0:0]和[C:6:0:0]椅子[C:7:0:0]。
[C:6:0:0]Stockpiles[C:7:0:0] are placed with the [C:5:0:1]Stockpile[C:7:0:0] button (highlighted.)  Click it now.,[C:6:0:0]仓库[C:7:0:0]可通过[C:5:0:1]仓库[C:7:0:0]按钮（已高亮）放置。现在请点击它。
[C:6:0:0]Tables[C:7:0:0] for your [C:5:0:0]Scribes[C:7:0:0] to work on.  [C:6:0:0]Chests[C:7:0:0] or [C:6:0:0]Coffers[C:7:0:0] are needed to store the,供你的[C:5:0:0]书记员[C:7:0:0]工作的[C:6:0:0]桌子[C:7:0:0]。需要[C:6:0:0]箱子[C:7:0:0]或[C:6:0:0]保险箱[C:7:0:0]来存放
[C:6:0:0]Traction Benches[C:7:0:0] which can be built at the [C:6:0:0]Mechanic's Shop[C:7:0:0].,[C:6:0:0]牵引台[C:7:0:0]，可在[C:6:0:0]机械工坊[C:7:0:0]中建造。
"[C:6:0:0]Wells[C:7:0:0] require a [C:6:0:1]Bucket[C:7:0:0], [C:6:0:1]Blocks[C:7:0:0], a [C:6:0:1]Rope[C:7:0:0] or [C:6:0:1]Chain[C:7:0:0], and [C:6:0:1]Mechanisms[C:7:0:0].  They can be built over",[C:6:0:0]水井[C:7:0:0]需要一个[C:6:0:1]水桶[C:7:0:0]、[C:6:0:1]方块[C:7:0:0]、一条[C:6:0:1]绳子[C:7:0:0]或[C:6:0:1]锁链[C:7:0:0]，以及[C:6:0:1]机械装置[C:7:0:0]。可以建造在
[C:6:0:0]Workshops[C:7:0:0] are one of many buildings you can place with the highlighted [C:5:0:1]Build[C:7:0:0] button.  Click it now.,[C:6:0:0]工作坊[C:7:0:0]是你可以用高亮的[C:5:0:1]建造[C:7:0:0]按钮放置的众多建筑之一。现在就点击它。
[C:6:0:1]Ability to fly lost,[C:6:0:1]丧失飞行能力
[C:6:0:1]Ability to fly somewhat impaired,[C:6:0:1]飞行能力受损
[C:6:0:1]Ability to grasp lost,[C:6:0:1]丧失抓握能力
[C:6:0:1]Ability to grasp somewhat impaired,[C:6:0:1]抓握能力受损
[C:6:0:1]Ability to stand lost,[C:6:0:1]丧失站立能力
[C:6:0:1]Ability to stand somewhat impaired,[C:6:0:1]站立能力受损
"[C:6:0:1]Barrels[C:7:0:0], and [C:6:0:1]Bags[C:7:0:0].  [C:6:0:1]Barrels[C:7:0:0] are used to store [C:6:0:1]Food[C:7:0:0].  [C:6:0:1]Bags[C:7:0:0] are used to store [C:6:0:1]Seeds[C:7:0:0]",[C:6:0:1]木桶[C:7:0:0]和[C:6:0:1]袋子[C:7:0:0]。[C:6:0:1]木桶[C:7:0:0]用于存放[C:6:0:1]食物[C:7:0:0]。[C:6:0:1]袋子[C:7:0:0]用于存放[C:6:0:1]种子[C:7:0:0]
"[C:6:0:1]Buckets[C:7:0:0] (with a source of water), [C:6:0:1]Thread[C:7:0:0] for sutures, and [C:6:0:1]Cloth[C:7:0:0] for bandages.",[C:6:0:1]水桶[C:7:0:0]（需要有水源）、用于缝合的[C:6:0:1]线[C:7:0:0]，以及用于绷带的[C:6:0:1]布料[C:7:0:0]。
[C:6:0:1]Crafts[C:7:0:0] are an easy way to make a lot of trade goods quickly.,[C:6:0:1]工艺品[C:7:0:0]是快速生产大量贸易商品简便方法。
[C:6:0:1]Fertilizer[C:7:0:0] and skilled [C:2:0:0]Planters[C:7:0:0] have a direct impact on crop yield.,[C:6:0:1]肥料[C:7:0:0]和熟练的[C:2:0:0]种植工[C:7:0:0]会直接影响作物产量。
[C:6:0:1]Fertilizer[C:7:0:0] is not needed to farm.,耕作不需要[C:6:0:1]肥料[C:7:0:0]。
[C:6:0:1]Furniture[C:7:0:0] created at the [C:6:0:0]Carpenter's Workshop[C:7:0:0] usually takes one [C:6:0:1]Wood[C:7:0:0] to build.  Add a task and make a [C:6:0:1]Bed[C:7:0:0].,在[C:6:0:0]木匠工作坊[C:7:0:0]制作的[C:6:0:1]家具[C:7:0:0]通常需要一份[C:6:0:1]木材[C:7:0:0]。添加一个任务，制作一张[C:6:0:1]床[C:7:0:0]。
[C:6:0:1]Gems[C:7:0:0] can be [C:3:0:1]Cut[C:7:0:0] at the [C:6:0:0]Jeweler's Workshop[C:7:0:0].  [C:3:0:1]Encrust[C:7:0:0] them on [C:6:0:1]Crafts[C:7:0:0] and other items to add even more value.,[C:6:0:1]宝石[C:7:0:0]可以在[C:6:0:0]珠宝匠工作坊[C:7:0:0]进行[C:3:0:1]切割[C:7:0:0]。将它们[C:3:0:1]镶嵌[C:7:0:0]到[C:6:0:1]工艺品[C:7:0:0]和其他物品上，进一步提升价值。
[C:6:0:1]Meat[C:7:0:0] from [C:2:0:0]Livestock[C:7:0:0] you slaughter is a source of food.,宰杀[C:2:0:0]牲畜[C:7:0:0]所得的[C:6:0:1]肉[C:7:0:0]是一种食物来源。
