text,translation
medicine:tool:mud bags as surgical models,医学:工具:泥袋作为手术模型
medicine:tool:plants as surgical models,医学:工具:植物作为手术模型
medicine:tool:animals as surgical models,医学:工具:动物作为手术模型
medicine:theory:specialized surgical instruments,医学:理论:专用手术器械
medicine:tool:forceps,医学:工具:镊子
medicine:tool:scalpel,医学:工具:手术刀
medicine:tool:surgical scissors,医学:工具:手术剪刀
medicine:method:cauterization,医学:方法:烧灼法
medicine:method:cataract surgery,医学:方法:白内障手术
medicine:tool:surgical needles,医学:工具:手术针头
medicine:method:anesthesia,医学:方法:麻醉
medicine:theory:classification of bodily fluids,医学:理论:体液分类
medicine:theory:anatomical studies,医学:理论:解剖研究
medicine:theory:pulmonary medicine,医学:理论:肺药
medicine:theory:eye anatomy,医学:理论:眼部解剖
medicine:theory:reaction time,医学:理论:反应时间
medicine:theory:nervous system function,医学:理论:神经系统功能
medicine:theory:motor vs sensory nerves,医学:理论:运动神经vs感觉神经
medicine:theory:blood vessels,医学:理论:血管
medicine:theory:the voice,医学:理论:声音
medicine:theory:comparative anatomy,医学:理论:比较解剖学
medicine:theory:pulmonary circulation,医学:理论:肺循环
medicine:theory:classification of muscles,医学:理论:肌肉分类
medicine:tool:dedicated hospitals,医学:工具:专用医院
medicine:theory:treatment of mental illnesses,医学:理论:精神疾病的治疗
medicine:theory:classification of mental illnesses,医学:理论:精神疾病分类
medicine:method:professional hospital staff,医学:方法:医院专业人员
medicine:method:medical school,医学:方法:医学院
medicine:method:hospital lab,医学:方法:医院实验室
medicine:method:specialized wards,医学:方法:专用病房
medicine:method:asylum for mentally ill,医学:方法:精神病院
engineering:horology:shadow clock,工程学:钟表学:影子时钟
engineering:horology:water clock,工程学:钟表学:水钟
engineering:horology:conical water clock,工程学:钟表学:锥形水钟
engineering:horology:water clock reservoir,工程学:钟表学:水钟水库
engineering:horology:astrarium,工程学:钟表学:星座
engineering:horology:hourglass,工程学:钟表学:沙漏
engineering:horology:mechanical clock,工程学:钟表学:机械钟
engineering:machine:theory of pulley,工程学:机械:滑轮理论
engineering:machine:pulley,工程学:机械:滑轮
engineering:machine:theory of wheel-and-axle,工程学:机械:轮轴理论
engineering:machine:screw,工程学:机械:螺丝
engineering:machine:theory of screw,工程学:机械:螺旋理论
engineering:machine:windlass,工程学:机械:锚机
engineering:machine:lever,工程学:机械:杠杆
engineering:machine:theory of lever,工程学:机械:杠杆理论
engineering:machine:theory of wedge,工程学:机械:楔理论
engineering:machine:straight-beam balance,工程学:机械:直梁平衡
engineering:machine:tumbler lock,工程学:机械:杠杆锁
engineering:machine:warded lock,工程学:机械:暗锁
engineering:machine:theory of gears,工程学:机械:齿轮理论
engineering:machine:padlock,工程学:机械:挂锁
engineering:machine:water-powered sawmill,工程学:机械:水力锯木厂
engineering:machine:crankshaft,工程学:机械:曲轴
engineering:machine:camshaft,工程学:机械:凸轮轴
engineering:machine:chariot odometer,工程学:机械:战车里程表
engineering:machine:differential gear,工程学:机械:差速齿轮
engineering:machine:mechanical compass,工程学:机械:指南针
engineering:machine:chain drive,工程学:机械:驱动链
engineering:machine:combination lock,工程学:机械:密码锁
engineering:fluid:theory of siphon,工程学:流体动力学:虹吸理论
engineering:machine:balance wheel,工程学:机器:摆轮
engineering:machine:verge escapement,工程学:机械:边缘擒纵机构
engineering:fluid:valves,工程学:流体力学:阀门
engineering:fluid:force pump,工程学:流体动力学:压力泵
engineering:optics:crystal lens,工程学:光学:水晶镜片
engineering:optics:water-filled spheres,工程学:光学:装水球体
engineering:optics:glass lens,工程学:光学:玻璃镜片
engineering:optics:camera obscura,工程学:光学:暗箱
engineering:optics:parabolic mirror,工程学:光学:抛物柱面镜
engineering:optics:theory of color,工程学:光学:色彩理论
engineering:design:models and templates,工程学:机械:模型与模板
engineering:optics:law of refraction,工程学:光学:折射定律
engineering:optics:theory of rainbows,工程学:流体动力学:彩虹理论
engineering:construction:wood lamination,工程学:机械:木材纹理
engineering:astronomy:armillary sphere,工程学:天文学:浑天仪
engineering:astronomy:astrolabe,工程学:天文学:星盘
engineering:astronomy:dioptra,工程学:天文学:望筒
engineering:machine:water-powered trip hammer,工程学:机械:水碓
engineering:astronomy:orrery,工程学:天文学:太阳系仪
engineering:astronomy:mural instrument,工程学:机械:壁画仪器
engineering:machine:double-acting piston bellows,工程学:机械:双作用活塞风箱
engineering:optics:cause of twilight,工程学:光学:暮光的诱因
engineering:optics:atmospheric refraction,工程学:光学:大气折射
engineering:fluid:archimedes principle,工程学:流体力学:阿基米德原理
engineering:optics:height of atmosphere,工程学:光学:大气层的高度
engineering:machine:bellows,工程学:机械:风箱
engineering:machine:crank,工程学:机械:曲柄
engineering:machine:piston,工程学:机械:活塞
engineering:machine:water-powered piston bellows,工程学:机械:水力活塞风箱
engineering:machine:trip hammer,工程学:机械:杵锤
engineering:machine:water wheel,工程学:机械:水车
individual happiness,个人幸福
perception,感知
ethics and the state,道德与国家
justification,理由
time,时间
existence,存在
belief,信仰
mind and body,心灵和身体
events,事件
wholes and parts,趸船和零件
objects and properties,对象和属性
processes,流程
interpersonal ethics,人际道德
military ethics,军事道德
causation,因果关系
education,教育
social welfare,社会福利
economic policy,经济政策
proof by contradiction,矛盾证明
nothingness,虚无
negative quantities,负量
very large numbers,非常大的数字
geometric objects,几何对象
exhaustion,衰竭
congruent triangles,全等三角形
right triangles,直角三角形
inscribed triangles,刻有三角形
isosceles triangles,等腰三角形
incommensurable ratios,不可比较的比率
pyramids,金字塔
common divisors,常见的除数
prime divisors,素数除法
cones,锥形体
division,部门
spheres,球体
chord lengths,弦长
circles,圆形
conic sections,圆锥曲线
prime numbers,质数
parabolas,抛物线
remainders,余数
diagonals,对角线
systems of equations,方程组
quadratic equations,二次方程
powers,功率
triangle and circles,三角形和圆
equations,方程
chords,和弦
the harmonic series,谐音序列
notation,表示法
historical causation,历史因果关系
personal interviews,个人访谈
state bias,国家偏见
systemic bias,系统性偏见
source reliability,来源的可靠性
cycles,周期
community conflict,社区冲突
community bonds,社区债券
biographical dictionaries,传记词典
the encyclopedia,百科全书
autobiographical adventures,自传式冒险
technological evolution,技术进化
archaeology,考古学
cultural differences,文化差异
tidal height,潮汐高度
the moon and tides,月亮与潮汐
the moon's path,月球的轨迹
the moon and seasons,月亮与四季
moon phases,月相
the sun and seasons,太阳与四季
the heliocentric model,日心说模型
the geocentric model,地心说模型
daylight and seasons,白天和四季
lunar and solar years,阴历和阳历
eclipses,日食
the color of stars,星辰的颜色
extensive star catalogues,广泛的恒星目录
star catalogues,明星目录
star charts,星表
the brightness of stars,星辰的亮度
astronomical models,天文模型
empirical observation,经验观察
equinoxes,分点
dissection,夹层
anatomy,解剖
comparative anatomy,比较解剖学
physical features,物理特性
migratory patterns,迁移模式
reproductive behavior,生殖行为
foraging behavior,觅食行为
diseases,疾病
social behavior,社会行为
dietary relationships,饮食关系
climatic adaptation,气候适应
the struggle for survival,为生存而奋斗
embriological development,胚胎发育
combustible materials,可燃材料
ores,矿石
alloys,合金
hardness,硬度
elemental materials,主材料
adhesives,胶粘剂
the blast furnace,高炉
alkali and acids,碱和酸
evaporation,蒸发
distillation,蒸馏
liquid extraction,液体提取
the alembic,蒸馏器
systematic experiments,系统性实验
the crucible,坩埚
the funnel,漏斗
the vial,样本瓶
the beaker,烧杯
the flask,长颈瓶
spirit of niter,硝酸乙酯的酒精溶液
laboratory ovens,实验室烘箱
the retort,反驳
the ampoule,安瓿
aqua regia,王水
oil of vitriol,硫酸油
cartographical surveying,制图测绘
triangulation,三角测量
cartography,制图学
the surveying staff,测量人员
surveying,测量
land surveying,土地测量
distance scales,距离尺度
map grids,地图网格
geological cartography,地质制图
surveying for engineering,测量工程
military surveying,军事测量
height measurements,高度测量
wind patterns,风模式
delta formation,三角洲的形成
the atlas,地图集
economic cartography,经济制图
economic data,经济数据
rainfall,降雨
map projections,地图投影
map accuracy,地图准确性
climate zones,气候区
the water cycle,水循环
disease and fouled water,疾病和污水
physical examination,体格测试
autopsy,尸体剖检
prognosis,预后
animal remedies,动物的补救措施
bandages,绷带
disease classification,疾病分类
endemic disease,地方病
acute and chronic conditions,急性和慢性病
toxicology,毒理学
epidemic disease,流行病
relapse,复发
paroxysm,发作
exacerbation,恶化
convalescence,恢复期
fracture classification,骨折分类
fracture treatment,骨折治疗
traumatic injuries,创伤性损伤
the traction bench,牵引台
excision,切除
the orthopedic cast,骨科演员
fracture immobilization,骨折固定
lithotomy surgery,截石手术
tracheotomy surgery,气管切开手术
scraping,刮
suturing,缝合
probing,探讨
draining,排水
ligature,结扎
surgical models,外科模型
mud bags as surgical models,泥袋作为手术模型
plants as surgical models,植物作为手术模型
animals as surgical models,动物作为手术模型
specialized surgical instruments,专用手术器械
forceps,钳
the scalpel,手术刀
surgical scissors,手术剪刀
surgical needles,手术针
bodily fluids,体液
anatomical studies,解剖学研究
eye anatomy,眼部解剖
reaction time,反应时间
the nervous system,神经系统
nerves,神经
blood vessels,血管
the voice,嗓音
muscles,肌肉
hospitals,医院
mental illnesses,精神疾病
hospital staff,医院员工
medical schools,医学院
hospital wards,医院病房
asylums,疯人院
shadow clocks,影子时钟
water clocks,水钟
conical water clocks,锥形水钟
water clock reservoirs,水钟水库
the astrarium,星座
mechanical clocks,机械钟
the pulley,滑轮
the wheel-and-axle,轮轴
the screw,螺丝
the windlass,卷扬机
the lever,杠杆
the wedge,楔子
the straight-beam balance,直梁天平
the warded lock,被锁定的锁
gears,齿轮
the padlock,挂锁
the water-powered sawmill,水力锯木厂
the crankshaft,曲轴
the camshaft,曲轴
the chariot odometer,战车里程表
the differential gear,差速器
the mechanical compass,机械指南针
chain drives,链传动
combination locks,密码锁
the siphon,虹吸管
the balance wheel,摆轮
the verge escapement,边缘擒纵机构
valves,阀门
the force pump,加压泵
the crystal lens,水晶透镜
water-filled spheres,充满水的球体
the glass lens,玻璃镜片
the camera obscura,暗箱
the parabolic mirror,抛物面镜
light and color,光和颜色
models and templates,模型和模板
refraction,折射率
lamination,层压
the armillary sphere,浑天仪
the astrolabe,星盘
the dioptra,望筒
the spherical astrolabe,球形星盘
the water-powered trip hammer,水力起重锤
the orrery,太阳系仪
mural instruments,壁饰乐器
double-acting piston bellows,双作用活塞风箱
water displacement,排水量
the height of the atmosphere,大气层高度
the bellows,风箱
the crank,曲柄
the piston,活塞
the water-powered piston bellows,水力活塞风箱
the trip hammer,旅行锤
the water wheel,水车
*START REGION SAVE*,*开始区域保存*
*START REGION DIM SAVE*,*开始区域维度保存*
*START REGION MAP SAVE*,*开始区域地图保存*
*START REGION GEOLOGY SAVE*,*开始区域地质保存*
*START REGION SUBREGION SAVE*,*开始子区域保存*
Not enough peaks: ,峰值不够: 
Not enough medium altitudes,没有足够的中等高度
Not enough medium altitudes after shift down,降档后没有足够的中等高度
Not enough low altitudes after shift down: ,降档后低空不够: 
Not enough high altitudes after shift up,上班后没有足够的高海拔地区
Not enough medium altitudes after shift up,移位后的中等高度不够
Not enough partial edge oceans,没有足够的部分边缘海洋
Not enough complete edge oceans,没有足够的完整边缘海洋
Rainfall not evenly distributed: ,降雨量不均匀分布: 
Flat/rough areas not evenly distributed: ,平坦/粗糙区域分布不均匀: 
Savagery not evenly distributed,野蛮人不均匀分布
Volcanism not evenly distributed,火山活动分布不均匀
Initial swamp square count fails by ,初始沼泽平方计数失败 
Initial desert square count fails by ,初始荒漠平方计数失败 
Initial forest square count fails by ,初始森林方计数失败 
Initial mountain square count fails by ,初始山脉平方计数失败 
Initial ocean square count fails by ,初始化海洋平方计数失败 
Initial glacier square count fails by ,初始化冰川平方计数失败 
Initial tundra square count fails by ,初始苔原平方计数失败 
Initial grassland square count fails by ,初始化草原平方计数失败 
Initial hill square count fails by ,初始化山丘平方计数失败 
Not enough volcanos,没有足够的火山
Swamp region count fails by ,沼泽地区计数失败 
Desert region count fails by ,荒漠地区计数失败了 
Forest region count fails by ,森林区域计数失败 
Mountain region count fails by ,山脉区域计数失败 
Ocean region count fails by ,海域计数失败 
Glacier region count fails by ,冰川区域计数失败 
Tundra region count fails by ,苔原区域计数失败 
Grassland region count fails by ,草原地区计数失败 
Hill region count fails by ,山丘区域计数失败 
Not enough river start points before erosion,侵蚀前没有足够的河流起点
Too many distinct subregions (over by ,太多不同的次区域(超过由 
 will be logged after parameter dump., 将在参数转储后记录. 
 ran into , 跑进 
Not enough medium altitude locations after erosion,侵蚀后的中高海拔地区不足
Not enough low altitude locations after erosion: ,侵蚀后的低空地点不够多.  
Not enough high altitude locations after erosion,侵蚀后的高海拔地点不够多
Not enough mountain cave locations,没有足够的山洞位置
Not enough mountain cave locations after location check,位置检查后没有足够的山洞位置
Not enough low-lying cave locations,低洼的洞穴位置不够
Not enough low-lying cave locations after location check,位置检查后没有足够的低洼洞穴位置
Not enough entity placement locations,没有足够的实体放置位置
No entity definitions available,没有可用的实体定义
No controllable entity definitions available,没有可控制的实体定义
Did not place controllable entity,没有放置可控实体
Placed farming entity without non-orchard crops,没有非果园作物的农业实体
Placed farming entity without orchard crops,没有果园作物的农业实体
Final swamp region count fails by ,最终沼泽地区的计数未能通过 
Final desert region count fails by ,最终沙漠地区计数失败的原因是 
Final forest region count fails by ,最后的森林区域计数失败的原因是 
Final mountain region count fails by ,最终山区计数失败的原因是 
Final ocean region count fails by ,"最终海洋区域计数失败,原因是 "
Final glacier region count fails by ,"最终的冰川区域计数失败,由于 "
Final tundra region count fails by ,苔原地区最终计数失败的原因是 
Final grassland region count fails by ,最终草原地区计数失败的原因是 
Final hill region count fails by ,最终山地区域计数失败的原因是 
Created in DF ,创建于DF 
just generated corrupt feature map square,刚刚生成的腐败的特征图方
Worship List,崇拜清单
 List, 列表
 d. , d. 
", Reign Began: ",",统治开始: "
", Inherited",",继承"
 from mother, 来自母亲
 from father, 来自父亲
 from paternal grandmother, 来自奶奶
 from paternal grandfather, 来自祖父
 from maternal grandmother, 来自外祖母
 from maternal grandfather, 来自外祖父
Married,已婚
 (d. , (d. 
", *** New Line",", *** 新队"
", *** Original Line",",***原始线"
Divorced,已离婚
Never Married,未婚
 Child, 儿童
 (out-lived), (出寿命)
 (out-lived , (出寿命 
 of them), 的). 
 -- Ages, -- 年龄
 at death, 已死亡
No Children,没有小孩
Worshipped ,崇拜 
Worships ,崇拜 
Civilized World Population,文明世界人口
Total: ,全部: 
Parent Civ: ,家长文明: 
Unnumbered ,借用 
Unnumbered,借用
visitor,拜访者
outcast,弃儿
Unnumbered animated ,未编号的动画 
 animated , 动画 
Outdoor Animal Populations (Including Undead),户外动物种群(包括亡灵)
Underground Animal Populations (Including Undead),地下动物种群(包括亡灵)
Midmap creation failure on graphical map export: ,"图形化地图导出时,中间图创建失败.  "
Elevation negative on graphical map export (main),图形化地图导出时的海拔负值(主). 
Elevation negative on graphical map export (midmap),图形化地图导出时的海拔负值(midmap). 
The Arena,演武场
Test Seed ,样品种子 
Cannot generate random creatures -- missing creature variation ,无法生成随机生物--缺少生物变体 
Inappropriate Waterlevel Biome Choice (2),不适当的水位生物群系选择(2)
Inappropriate Waterlevel Biome Choice (4),不适当的水位生物群系选择(4)
Woe unto any that disturb the resting place of ,扰乱耶稣安息之所的人有祸了.  
 watches still, 钟表仍然
 is with , 是与 
Imported Food,进口食品
Imported Clothing,进口服装
Imported Goods,进口货物
Woven Clothing,编织服装
Leather Clothing,皮衣
Metal Crafts,金属工艺品
Leather Goods,皮革制品
Wooden Furniture,木制家具
Stone Furniture,石制家具
Metal Furniture,金属家具
building out of bounds: ,建筑越界: 
cottage plot,小屋
hillock,山丘
house,房子
shop,店
market square,市场
barrow,手推车
vault,拱顶
warehouse,仓库
dormitory,宿舍
pasture,牧场
meadow,草地
yard,码
trenches,沟渠
fortress entrance,堡垒入口
shrine,圣祠
no layer area available for historical figure,没有可用于历史人物的图层区域
Select a game type to begin!,选择一个游戏类型开始!
Back to title menu,返回到主菜单
World debug,世界调试
 - coming soon!, -即将到来!
You have selected the largest possible area.,您选择了最大的区域. 
You have selected a very large area.,你选择了一个非常大的区域. 
You have selected a large area.,你选择了一个很大的区域. 
Choose a smaller area if you experience lag.,"如果遇到延迟,请选择较小的区域. "
You have selected the smallest possible area.,您已选择尽可能小的区域. 
You have selected a narrow area.,你选择了一个狭窄的区域. 
It might be difficult to find resources.,可能很难找到资源.
You have selected an area with salt water.,您选择了一个有盐水的区域. 
It might be very difficult to survive here.,这里可能非常难以生存.
You have selected an area with a heavy aquifer.,您选择了一个含有大量含水层的区域. 
It might be very difficult to obtain stone here.,这里可能非常难以获得石材.
You have selected an area with a light aquifer.,您选择了一个含水层较轻的区域. 
Water might need to be pumped out or carried away.,水可能需要抽出或带走. 
Your selected civilization is dead or dying.,你所选择的文明已经死亡或死亡. 
Your dwarves might assume important positions.,你的矮人可能会担任重要职务. 
You have selected an evil area.,你选择了一块邪地
You may find very unpleasant environs here.,你会发现周遭环境令你不适
You have selected a savage area.,你选择了一块蛮荒的区域
The wildlife might be very dangerous here.,这儿的野生生灵会非常危险
You have selected an area near a necromancer's tower.,你选择了一块靠近死灵法师塔的地方
You may be invaded very early by powerful foes.,你会很早被强大敌人侵略
"Click ""Embark"" to place your fortress.  Right click to zoom out.","点击""出发""选择你的要塞起点. 右键可以缩小. "
Show elevation,显示海拔
Show cliffs/grade,显示悬崖/坡度
 Clear find results , 清除寻找结果 
Find embark location,寻找开始地点
Reclaim/unretire,回收
Choose origin civilization,选择起源文明
Click the map to zoom in and choose your embark location.,点击地图放大并选择您的登陆地点. 
Click on the map to embark!  Right click to abort.,点击地图开始!右键点击退出. 
Cannot embark on another site.,不能在别的地方开始. 
Recommended size.,推荐大小. 
Cannot embark entirely on water or mountains.,起始地点不能完全在水里或山上. 
Must embark on map.,必须在地图上开始. 
N/A,无要求
X Dimension,横向尺寸
Y Dimension,纵向尺寸
Flux Stone Layer,熔剂石层级
Aquifer (Light),含水层(轻)
Aquifer (Heavy),含水层(重)
Underground River,暗河
Underground Pool,地下游泳池
Magma Pool,岩浆池
Magma Pipe,岩浆管道
Bottomless Pit,无底洞
Other Features,其他特性
Soil,土壤
Untamed wilds,未驯服的荒野
Evil,邪恶
 Deep, 深层
 Little, 少量
Searching ,查找中 
Stop,停止
No match.,无匹配
Partial match.,部分匹配
Match found!,找到匹配
Begin,开始
Unretire ,不退休 
Reclaim ,收复 
Inhabited,居住
Unretire,退休
Reclaim!,收复!
Population: ,人口: 
Number of sites: ,古迹数量 
Preparing map...,正在准备地图...
Could not give dwarf ,不能给矮人 
 skill: , 技能: 
No dwarf in position ,没有矮人的位置 
Cannot afford ,承受不起 
  Prepare for the Journey to , 为旅程做好准备 
Play now!,开始游戏!
"Start immediately with the default skills, equipment, and animals.","立即开始使用默认技能, 设备和动物. "
Prepare for the journey carefully,为旅程精心准备
"Choose your own skills, equipment, and animals.","选择你自己的技能, 设备和动物. "
Prepare using a saved embark profile:,使用保存的登陆资料进行准备:
Embark preparations were not completed.,开局准备尚未完成.
Fortress Name,要塞名字
Group Name,小组名字
Group Symbol,小组象征
Problems,麻烦
Save Profile,保存配置
Embark!,开局!
Your Citizens,你的市民
Available Skills,可用技能
skill picks left,剩余技能选择
skill pick left,剩余技能选择
Crucial,至关重要的
Your Items,你的物品
Points Left: ,剩余点数 
Available Items,可用物品
 pts, 分
Your Animals,你的动物
Available Animals,可用动物
Warning!  The following embark profile name is already in use:,警告!以下启动配置文件名称已在使用中:
Overwrite,覆盖
Go back,返回
"To save these settings, choose a name for this embark profile:","若要保存这些设置,请为此开局配置决定一个名称:"
Are you sure?,你确定么?
 point, 点
 remain, 残余
 unpicked skill, 未选取的技能
I am ready!,我准备好了!
Profile ,轮廓 
Miners,矿工
Woodcutters,伐木工
Hunters,猎人
Planters,播种者
Fishermen,渔夫
Plant gatherers,植物采集者
Stonecutters,石匠
Engravers,雕刻师
Haulers,搬运工
Orderlies,护理员
No alert,没有警报
** Starting New Outpost **,**开始新的前哨**
** Unretiring Outpost **,**不懈的前哨**
** Starting Reclaim **,**开始回收**
Neighbors:,邻居:
Nearest site: ,最近的位置: 
1/2 day's travel,半天的旅程
You have located ,你找到了 
""", a ",""",一个 "
"main tower (255,0,255)","主塔(255,0,255)"
"watch tower (128,128,128)","瞭望塔(128,128,128)"
"trenches (0,0,0)","沟渠(0,0,0)"
"dungeon-tower interface (50,20,50)","地牢塔接口(50,20,50)"
"work pits (50,30,20)","工作坑(50,30,20)"
"living pits (20,50,40)","活坑 (20,50,40)"
COULD NOT NULLIFY CONSTRUCTION ROAD EDGE,不能使建筑路边缘无效
"castle tower (110,110,110)","城堡塔楼(110,110,110)"
"castle wall (70,70,70)","城墙(70,70,70)"
"castle wall walkway (40,40,40)","城堡墙走道(40,40,40)"
"warehouse (50,50,50)","仓库(50,50,50)"
"dormitory (50,75,75)","集体宿舍 (50,75,75)"
"dining hall (75,50,75)","公共食堂(75,50,75)"
"general import market (50,30,15)","一般货物进口市场(50,30,15)"
"food import market (50,40,15)","食品进口市场(50,40,15)"
"clothing import market (50,30,35)","服装进口市场(50,30,35)"
"meat market (255,0,0)","肉类市场(255,0,0)"
"edible produce market (0,255,0)","食品市场 (0,255,0)"
"cheese market (255,255,0)","奶酪市场(255,255,0)"
"edible processed plants market (255,200,200)","食用植物加工市场 (255,200,200)"
"general import store (192,192,192), border (128,128,128)","一般货物进口商店 (192,192,192), 边界 (128,128,128)"
"food import store (128,192,128), border (128,128,128)","食品进口商店 (128,192,128),边界 (128,128,128)"
"clothing import store (255,255,255), border (128,128,128)","服装进口商店(255,255,255),边境(128,128,128)"
"cloth shop (200,200,200)","布店(200,200,200)"
"tanning shop (128,100,50)","制革工坊 (128,100,50)"
"cloth clothing shop (255,255,100)","布服装店(255,255,100)"
"leather clothing shop (255,128,64)","皮革服装店(255,128,64)"
"bone carver shop (128,255,255)","骨雕刻店(128,255,255)"
"gem cutter shop (0,255,0)","宝石切割车间(0,255,0)"
"metal weapons shop (255,0,255)","金属武器店(255,0,255)"
"wood weapons shop (255,128,128)","木制武器店(255,128,128)"
"blacksmith shop (64,64,64)","铁匠铺 (64,64,64)"
"armorsmith shop (0,0,0)","盔甲工坊(0,0,0)"
"metal crafter shop (128,128,128)","金属工艺品店(128,128,128)"
"leather accessories shop (100,70,30)","皮具配件店(100,70,30)"
"wooden furniture shop (255,0,0)","木制家具店(255,0,0)"
"stone furniture shop (255,64,0)","石材家具工坊 (255,64,0)"
"metal furniture shop (255,0,64)","金属家具店(255,0,64)"
"fortress (129,129,129)","堡垒(129,129,129)"
"underground farming (50,20,50)","地下农业(50,20,50)"
"underground industrial (250,50,20)","地下工业(250,50,20)"
"underground living (20,50,30)","地下生活(20,50,30)"
"underground guilds (20,100,20)","地下行会 (20,100,20)"
"underground merchants (100,100,20)","地下商人(100,100,20)"
"well (0,0,255)","井(0,0,255)"
"house (100,70,10)","房子(100,70,10)"
"cottage plot (30,100,10)","小屋(30,100,10)"
"mead hall (255,128,255)","米德大厅(255,128,255)"
"temple (170,120,230)","神庙(170,120,230)"
"library (255,192,255)","图书馆 (255,192,255)"
"shrine (0,255,255)","圣祠(0,255,255)"
"crops 1 (255,195,0), rows","作物 1(255,195,0), 行"
"crops 2 (195,255,0), rows","作物 2 (195,255,0), 行"
"crops 3 (100,60,20), rows","作物 3(100,60,20), 行"
"meadow (100,255,0)","草地(100,255,0)"
"orchard (0,100,0)/(0,200,0)","果园(0,100,0)/(0,200,0)"
"woodland (0,95,0)","林地(0,95,0)"
"waste (0,20,0)","浪费(0,20,0)"
"town yards (100,50,10)","小镇庭院(100,50,10)"
"abandoned (75,50,20), border (50,50,50)","被遗弃(75,50,20),边境(50,50,50)"
"ruin (50,20,20), border (50,50,50)","废墟(50,20,20),边境(50,50,50)"
fortress,要塞
mountain halls,山岳厅
hillocks,丘居
pits,坑
cave,洞穴
forest retreat,森林休憩所
hamlet,村庄
castle,城堡
monastery,修道院
monument,纪念碑
camp,营地
important location,重要位置
site,现场
Non-feature related elevation hole,非特征相关的高程孔
usually speaks in a whisper,经常小声说话
whispers when ,耳语时 
 is thinking hard about something, 正在努力思考某事
's nervous,很紧张
starts to whisper when ,开始耳语时是在 
 is trying to remember something, 试图回忆一些事
begins to talk in a hushed whisper when ,开始低声说话时 
 is angry, 很生气
speaks very quietly,小声说到
keeps ,保持 
 voice very quiet when , 说话的时候声音很小 
 is nervous, 很紧张
talks very quietly when ,谈话时非常小声 
starts yelling whenever ,每当开始大喊大叫 
 gets angry, 变得愤怒
begins to talk louder when ,开始大声说话 
talks very loudly when ,当大声谈论时 
 is excited, 很兴奋
shouts when ,喊什么时候 
 surprised, 诧异
talks very loudly whenever ,每当谈话时都会大声说话 
 is exasperated, 被激怒了
greets others very loudly,非常大声地问候别人
 is annoyed, 很生气
speaks very loudly,大声说到
has a very monotonous way of speaking,说话方式很单调
speaks in a monotone when ,当开始单调说话 
begins to talk in a monotone when ,"开始用单调的语气说话,当 "
 is bored, 很无聊
starts to drone when ,"嗡嗡作响,当 "
begins speaking in a monotone whenever ,每当开始单调说话 
 is angered, 很生气
's speaking,在说话
 voice has a tendency to trail off when ," 语音有一个倾向,当 "
 is thinking about something, 正在思考一些事情
 voice trails off when , 声音逐渐减弱当 
 tries to remember something, 试图回忆一些事情
 voice trails off whenever , 声音逐渐减弱每当 
 generally speaks very slowly, 通常说话很慢
"'s annoyed, ",很恼火 
 starts to talk slowly, 开始慢慢说话
begins to talk much more slowly when ,"开始说得更慢,当 "
's exasperated,被激怒了
begins to talk more slowly when ,"开始说得更慢,当 "
's angry,的愤怒
 usually talks very quickly, 通常说话很快
talks very rapidly after ,谈话后非常迅速 
's been surprised,很惊讶
speaks rapidly when ,快点说话的时候 
's excited,很兴奋
talks very quickly when ,很快就会谈 
begins to talk rapidly when ,开始迅速地交谈当 
tends to speak very deliberately,说话总是很谨慎
speaks very deliberately when ,说话时非常慎重 
's annoyed,很恼火
" becomes exasperated, "," 变得恼怒, "
 begins to speak very deliberately, 开始非常刻意地说话
mutters under ,嘀咕声 
 breath when , 呼吸的时候 
starts to mutter under ,开始嘀咕着 
 gets excited, 变得激动
's thinking,的想法
 starts to mutter under , 开始嘀咕着 
 breath, 呼吸
"Whenever there's a pause in a conversation, ","每当谈话暂停时, "
's bored,很无聊
constantly mutters under ,经常嘀咕着 
starts to stutter when ,开始结巴 
always stutters when ,总是结巴 
stammers when ,讲话时结结巴巴 
's surprised,很惊讶
begins to stammer when ,开始结结巴巴的时候 
 becomes exasperated, 变得恼怒
stutters occasionally,偶尔口吃
has a tendency to talk to inanimate objects,倾向于与无生命的物体交谈
" gets bored, ", 觉得无聊 
 starts talking to inanimate objects, 开始与无生命的物体交谈
 talks to inanimate objects when there is a lull in the conversation," 当谈话中间有间歇的时候,他会对无生命的物体说话"
talks to inanimate objects when ,与无生命的物体交谈时 
often talks to inanimate objects when ,经常谈论无生命的物体 
's trying to remember something,试图记住一些事情
talks to ,对话 
" gets excited, ", 变得激动 
 often starts talking to , 经常开始交谈 
starts talking to ,开始交谈 
"When there's a pause in a conversation, ","当谈话有停顿时, "
 whenever , 每当 
 gets bored, 感到无聊
 all of the time, 一直以来
gets distracted from conversations easily when ,谈话时容易分心 
is distracted from conversations easily when ,很容易分心于谈话 
gets distracted during conversations when ,"谈话时心不在焉,当 "
is easily distracted during conversations when ,"谈话时容易分心,当 "
gets easily distracted during conversations when ,"谈话时容易分心,当 "
tends to be easily distracted during conversations,在交谈中容易分心
will frequently ramble on with stories that don't have any point or even conclusion,会经常滔滔不绝地讲述没有任何意义甚至没有结局的故事
quite often tells pointless stories when ,经常讲述毫无意义的故事 
 often tells stories without any real point, 经常讲故事而没有任何实际意义
often tells pointless stories when ,经常讲述毫无意义的故事 
tends to be very focused during conversations,在交谈中往往非常专注
